trench_id,easting,northing,elevation,grade_value
AEC001,208329.403,2467940.571,308.096,7.36
AEC001,208328.536,2467940.088,307.805,1.27
AEC001,208328.015,2467939.244,307.704,2.53
AEC001,208327.378,2467938.606,307.484,2.41
AEC001,208326.609,2467938.028,307.153,1.7
AEC001,208325.866,2467937.471,306.99,3.72
AEC001,208325.106,2467936.814,306.764,5.24
AEC001,208324.317,2467936.258,306.664,3.9
AEC001,208323.33,2467935.885,306.618,3.16
AEC001,208322.579,2467935.349,306.784,0.27
AEC001,208321.801,2467934.759,307.086,0.13
AET004A,208303.025,2467933.65,302.858,0.34
AET004A,208303.691,2467933.063,302.779,0.57
AET004A,208304.498,2467932.506,303.024,0.17
AET004A,208305.458,2467932.178,302.893,0.41
AET004A,208306.357,2467931.824,303.151,0.44
AET004A,208307.078,2467931.237,303.536,0.52
AET004A,208307.98,2467931.082,303.936,0.32
AET004A,208308.692,2467930.504,304.314,0.91
AET004A,208309.321,2467929.902,305.007,9.38
AET004A,208310.118,2467929.398,305.346,1.86
AET004A,208310.856,2467928.868,305.834,0.23
AET004A,208311.533,2467928.301,306.149,0.09
AET004A,208312.239,2467927.73,307.036,0.06
AET004A,208312.906,2467927.167,307.365,0.11
AET004A,208313.482,2467926.701,307.918,0.03
AET004A,208314.334,2467926.631,308.064,0.02
AET004A,208315.243,2467926.044,308.851,0.09
AET004A,208315.597,2467925.195,309.623,0.04
AET004A,208316.627,2467924.929,309.658,0.04
AET004A,208317.181,2467924.496,310.265,0.07
AET004A,208317.898,2467924.096,310.789,0.1
AET004A,208318.777,2467923.691,311.356,0.04
AET004A,208319.591,2467923.244,311.596,0.06
AET004A,208320.199,2467922.727,312.067,0.04
AET004B,208323.678,2467926.576,311.877,0.01
AET004B,208324.171,2467925.607,312.367,0.03
AET004B,208325.072,2467924.891,312.047,0.11
AET004B,208325.929,2467923.965,312.538,0.14
AET004B,208327.89,2467923.336,312.514,0.03
AET004B,208328.95,2467923.095,312.542,0.01
AEF001,208309.264,2467940.163,302.206,1.36
AEF001,208310.14,2467939.615,302.491,1.01
AEF001,208311.021,2467939.285,302.542,2.67
AEF001,208311.895,2467939.257,302.612,0.71
AEF001,208312.979,2467939.061,302.173,3.31
AEF001,208313.842,2467939.264,302.277,9.31
AEF001,208314.856,2467939.419,302.362,9.41
AEF001,208315.825,2467939.579,302.143,5.19
AEF001,208316.86,2467939.063,302.75,0.97
AEF001,208317.913,2467939.031,302.681,1.3
AEF001,208318.898,2467938.953,302.839,3.1
AEF001,208319.837,2467938.729,302.833,1.45
AEF001,208320.755,2467938.382,302.769,5.13
AEF001,208321.773,2467938.132,302.739,5.08
AEF001,208322.622,2467937.793,302.784,3.19
AEF001,208323.738,2467937.656,303.044,3.49
AEF001,208324.719,2467937.715,303.359,1.44
AEF001,208325.447,2467938.283,303.378,0.47
AEF001,208326.119,2467939.1,303.294,0.05
AEF001,208326.792,2467939.927,303.06,0.07
AEF001,208327.471,2467940.452,303.191,0.87
AEF001,208327.935,2467941.415,302.872,0.79
AEF001,208328.652,2467942.165,303.416,1.59
AEF001,208329.366,2467942.889,303.334,0.72
AEF001,208329.859,2467943.799,303.326,0.92
AEF001,208330.451,2467944.601,303.2,0.44
AEF001,208330.863,2467945.499,303.451,3.6
AEF001,208331.299,2467946.376,303.347,3.55
AEF001,208331.908,2467947.147,303.492,0.34
AEF001,208332.552,2467947.972,303.308,0.14
AEF001,208333.178,2467948.693,303.437,0.23
AEF001,208333.941,2467949.465,303.386,0.89
AEF001,208334.565,2467950.044,303.568,0.16
AEF001,208334.846,2467950.921,303.538,0.29
AEF001,208335.444,2467951.592,303.42,0.001
AEF001,208335.69,2467952.627,303.555,0.01
AEF001,208335.714,2467953.628,303.408,0.01
AEF001,208335.76,2467954.639,303.327,1.74
AEF001,208335.821,2467955.642,303.066,0.65
AEF001,208336.082,2467956.54,303.031,0.32
AEF001,208336.316,2467957.601,303.269,0.06
AEF001,208336.807,2467958.458,302.945,0.04
AEF001,208336.756,2467959.524,302.98,0.06
AEF001,208336.543,2467960.537,303.162,0.07
AEF001,208336.073,2467961.364,303.194,0.06
AEF002,208296.751,2467899.16,310.629,0.11
AEF002,208297.858,2467899.362,310.888,0.12
AEF002,208298.874,2467899.626,311.349,0.15
AEF002,208298.884,2467899.595,311.353,6.22
AEF002,208299.495,2467899.835,311.482,0.06
AEF002,208300.467,2467900.333,311.875,0.05
AEF002,208301.259,2467901.034,311.961,0.08
AEF002,208301.786,2467901.955,311.793,0.06
AEF002,208302.102,2467902.78,311.67,0.07
AEF002,208302.68,2467903.597,311.634,0.17
AEF002,208303.063,2467904.354,311.433,0.06
AEF002,208303.558,2467905.2,311.176,0.05
AEF002,208303.879,2467906.194,311.104,0.04
AEF002,208304.14,2467906.869,310.828,0.07
AEF002,208304.223,2467907.817,310.544,0.04
AEF002,208304.453,2467908.361,310.431,0.08
AEF002,208304.589,2467908.993,310.062,0.02
AEF002,208304.529,2467909.793,309.737,0.05
AEF002,208304.797,2467910.921,309.628,0.09
AEF002,208304.614,2467911.964,309.353,0.1
AEF002,208304.439,2467912.754,309.175,0.09
AEF002,208303.915,2467913.649,308.948,0.2
AEF002,208303.379,2467914.545,308.543,0.16
AET010,208317.337,2467918.591,310.558,0.03
AET010,208318.036,2467918.195,310.385,0.07
AET010,208318.835,2467917.596,310.403,0.18
AET010,208319.789,2467917.206,310.581,1.61
AET010,208320.567,2467916.708,310.645,0.24
AET010,208321.32,2467916.102,310.765,0.11
AET010,208322.367,2467915.713,310.854,0.29
AET010,208323.1,2467915.077,310.949,0.09
AET010,208323.892,2467914.392,310.925,0.3
AET010,208324.536,2467913.657,310.973,0.09
AET011,208311.189,2467911.421,311.384,0.01
AET011,208312.083,2467910.927,311.402,0.01
AET011,208312.956,2467910.383,311.475,0.01
AET011,208313.908,2467909.776,311.541,0.41
AET011,208314.581,2467909.044,311.56,0.13
AET011,208315.209,2467908.486,311.587,0.08
AET011,208315.738,2467907.524,311.473,0.11
AET011,208316.364,2467906.707,311.499,0.02
AET011,208317.327,2467906.295,311.679,0.02
AET011,208318.306,2467905.921,311.532,0.02
AET011,208319.165,2467905.396,311.661,0.06
AET011,208319.955,2467905.055,311.682,0.03
AET012,208304.347,2467904.282,310.879,0.02
AET012,208304.986,2467903.673,311.09,0.17
AET012,208305.716,2467902.963,310.992,0.12
AET012,208306.338,2467902.097,310.904,0.15
AET012,208307.056,2467901.426,310.92,0.06
