Hole Id,Zone,X,Y,Z,Dip,Azimuth,Total_Length,Type,Status,Sample_ID,From,To,Grade
AADD004,Abo Elmajd,208300.00,2467940.00,300.00,-60,120,80.0,DD,drilled,,,,
AADD004,,,,,,,,,,AADD004-S01,37,38,0.45
AADD004,,,,,,,,,,AADD004-S02,38,40,1.85
AADD004,,,,,,,,,,AADD004-S03,40,44,3.40
AADD004,,,,,,,,,,AADD004-S04,44,50,0.22
AADD004,,,,,,,,,,AADD004-S05,50,55,0.07
AADD005,Abo Elmajd,208340.00,2467960.00,300.00,-55,130,60.0,DD,drilled,AADD005-S01,0,10,0.05
AADD005,,,,,,,,,,AADD005-S02,10,20,0.15
AADD005,,,,,,,,,,AADD005-S03,20,30,0.35
AADD005,,,,,,,,,,AADD005-S04,30,40,0.75
AADD005,,,,,,,,,,AADD005-S05,40,50,2.10
AADD005,,,,,,,,,,AADD005-S06,50,60,5.60
AADD006,Abo Elmajd,208380.00,2467930.00,300.00,-70,95,40.0,DD,drilled,NSR,0,12,
AADD006,,,,,,,,,,AADD006-S02,12,20,0.62
AADD006,,,,,,,,,,No Sample,20,30,
AADD006,,,,,,,,,,AADD006-S04,30,40,4.10
AAPL001,Abo Elmajd,208270.00,2467915.00,300.00,-65,110,90.0,DD,planned,AAPL001-T01,30,45,1.20
AAPL001,,,,,,,,,,AAPL001-T02,60,72,2.80
AAPL002,Abo Elmajd,208255.00,2467900.00,301.50,-70,105,120.0,RC,proposed,AAPL002-T01,80,95,2.20
