Hole Id,Zone,X,Y,Z,Dip,Azimuth,Total_Length,Type
ARDD0001,Abo elmajd,208316.223,2467944.22,301.67,-55,130,50.0,DD
ARDD0001A,Abo elmajd,208299.053,2467942.149,300.55,-50,50,32.4,DD
ARDD0003,Abo elmajd,208295.597,2467939.448,300.935,-50,122,40.1,DD
ARRC0001,Abo elmajd,208340.000,2467960.000,299.50,-80,135,60.0,RC
ARRC0002,Abo elmajd,208310.000,2467920.000,298.75,-80,90,55.0,RC
ARCH001,Abo elmajd,208322,2467932,297,-8,48,11,CH
ARFC001,Abo elmajd,208280,2467870,300,0,270,18,FC
ARTR001,Abo elmajd,208272,2467864,299.13,16,100,145,TR
ARTR002,Abo elmajd,208376,2467933,287,-22,116,99,TR
ARTR003,Abo elmajd,208384,2467733,286.33,-6,70,10,TR
ARTR014A,Abo elmajd,208303.025,2467933.65,302.858,16,120,23.5,TR
ARTR014B,Abo elmajd,208323.678,2467926.576,311.877,12,136,8,TR
ARTR014C,Abo elmajd,208332.753,2467917.288,308.578,-31,96,47,TR
ADDD001,Adel,208700.000,2467850.000,270.00,-55,180,75.0,DD
ADRC001,Adel,208750.000,2467800.000,268.50,-75,200,50.0,RC
ARTR004,Adel,208667.6,2467879.9,270.14,-12,66,26,TR
ARTR005,Adel,208733,2467828,269,-16,37,25,TR
ARTR006,Adel,208818,2467780,269,-23,44,40,TR
TLDD001,Tallat,209100.000,2469200.000,268.00,-60,95,80.0,DD
TLDD002,Tallat,209150.000,2469220.000,267.50,-65,100,90.0,DD
ARTR007,Tallat,208694,2468213,281,-4,82,22,TR
ARTR008,Tallat,209304.546,2469294.856,266.102,-6,2,18,TR
ARTR009,Tallat,209075.409,2469231.675,269.056,6,78,30,TR
ARTR010,Tallat,209057.277,2469136.42,276.84,-11,90,25,TR
ARTR011,Tallat,209051.005,2469074.936,283.262,-22,102,26,TR
NBCH001,Nabil,209685.000,2468690.000,278.00,-5,70,15,CH
ARTR012,Nabil,209680.822,2468706.7,273.923,-24,63,30,TR
ARTR013,Nabil,209695.66,2468676.538,284.873,9,88,20,TR
SMDD001,Samir,207630.000,2467990.000,305.00,-45,60,65.0,DD
ARTR031,Samir,207593.546,2467771.849,309.923,0,92,25,TR
ARTR030,Samir,207665.406,2467977.933,311.171,2,56,51,TR
