Hole Id,Zone,X,Y,Z,Dip,Azimuth,Total_Length,Type
ARDD0001,Abo elmajd,208316.223,2467944.22,301.67,-50,122,44.3,DD
ARRC0001,Abo elmajd,208340.000,2467960.000,299.50,-80,135,60.0,RC
ARCH001,Abo elmajd,208322,2467932,297,-8,48,11,CH
ARFC001,Abo elmajd,208280,2467870,300,0,270,18,FC
ARTR001,Abo elmajd,208272,2467864,299.13,16,100,145,TR
ARTR002,Abo elmajd,208376,2467933,287,-22,116,99,TR
ADDD001,Adel,208700.000,2467850.000,270.00,-55,180,75.0,DD
ADRC001,Adel,208750.000,2467800.000,268.50,-75,200,50.0,RC
ARTR004,Adel,208667.6,2467879.9,270.14,-12,66,26,TR
ARTR005,Adel,208733,2467828,269,-16,37,25,TR
